frame_idx,time_sec,face_detected,state,confidence,risk_score,risk_level,danger_counter,warning,input_mode,attention_boxes
70,1.168,True,c5_radio,0.5121384859085083,0.5615,yellow,0,False,driver_roi,[]
71,1.184,True,c5_radio,0.5121384859085083,0.5615,yellow,0,False,driver_roi,[]
72,1.201,True,c5_radio,0.5259023308753967,0.5608,yellow,0,False,driver_roi,[]
73,1.218,True,c5_radio,0.5259023308753967,0.5608,yellow,0,False,driver_roi,[]
74,1.234,True,c5_radio,0.5429022312164307,0.56,yellow,0,False,driver_roi,[]
75,1.251,True,c5_radio,0.5429022312164307,0.56,yellow,0,False,driver_roi,[]
76,1.268,True,c5_radio,0.5579331517219543,0.5581,yellow,0,False,driver_roi,[]
77,1.285,True,c5_radio,0.5579331517219543,0.5581,yellow,0,False,driver_roi,[]
78,1.301,True,c5_radio,0.5723416805267334,0.5559,yellow,0,False,driver_roi,[]
79,1.318,True,c5_radio,0.5723416805267334,0.5559,yellow,0,False,driver_roi,[]
80,1.335,True,c5_radio,0.5850946307182312,0.5538,yellow,0,False,driver_roi,[]
81,1.351,True,c5_radio,0.5850946307182312,0.5538,yellow,0,False,driver_roi,[]
82,1.368,True,c5_radio,0.5980855226516724,0.5528,yellow,0,False,driver_roi,[]
83,1.385,True,c5_radio,0.5980855226516724,0.5528,yellow,0,False,driver_roi,[]
84,1.401,True,c5_radio,0.6055551767349243,0.552,yellow,0,False,driver_roi,[]
85,1.418,True,c5_radio,0.6055551767349243,0.552,yellow,0,False,driver_roi,[]
86,1.435,True,c5_radio,0.6103147268295288,0.5509,yellow,0,False,driver_roi,[]
87,1.451,True,c5_radio,0.6103147268295288,0.5509,yellow,0,False,driver_roi,[]
88,1.468,True,c5_radio,0.6083743572235107,0.5501,yellow,0,False,driver_roi,[]
89,1.485,True,c5_radio,0.6083743572235107,0.5501,yellow,0,False,driver_roi,[]
90,1.501,True,c5_radio,0.6041662693023682,0.5483,yellow,0,False,driver_roi,[]
91,1.518,True,c5_radio,0.6041662693023682,0.5483,yellow,0,False,driver_roi,[]
92,1.535,True,c5_radio,0.5959411859512329,0.5457,yellow,0,False,driver_roi,[]
93,1.551,True,c5_radio,0.5959411859512329,0.5457,yellow,0,False,driver_roi,[]
94,1.568,True,c5_radio,0.5877329707145691,0.5441,yellow,0,False,driver_roi,[]
95,1.585,True,c5_radio,0.5877329707145691,0.5441,yellow,0,False,driver_roi,[]
96,1.601,True,c5_radio,0.5768023729324341,0.544,yellow,0,False,driver_roi,[]
97,1.618,True,c5_radio,0.5768023729324341,0.544,yellow,0,False,driver_roi,[]
98,1.635,True,c5_radio,0.5666295886039734,0.5467,yellow,0,False,driver_roi,[]
99,1.652,True,c5_radio,0.5666295886039734,0.5467,yellow,0,False,driver_roi,[]
100,1.668,True,c5_radio,0.5518858432769775,0.5484,yellow,0,False,driver_roi,[]
101,1.685,True,c5_radio,0.5518858432769775,0.5484,yellow,0,False,driver_roi,[]
102,1.702,True,c5_radio,0.5362237095832825,0.5497,yellow,0,False,driver_roi,[]
103,1.718,True,c5_radio,0.5362237095832825,0.5497,yellow,0,False,driver_roi,[]
104,1.735,True,c5_radio,0.5220377445220947,0.5493,yellow,0,False,driver_roi,[]
105,1.752,True,c5_radio,0.5220377445220947,0.5493,yellow,0,False,driver_roi,[]
106,1.768,True,c5_radio,0.5102750062942505,0.5486,yellow,0,False,driver_roi,[]
107,1.785,True,c5_radio,0.5102750062942505,0.5486,yellow,0,False,driver_roi,[]
108,1.802,True,c5_radio,0.5002080798149109,0.5478,yellow,0,False,driver_roi,[]
109,1.818,True,c5_radio,0.5002080798149109,0.5478,yellow,0,False,driver_roi,[]
110,1.835,True,c5_radio,0.4945228397846222,0.5487,yellow,0,False,driver_roi,[]
111,1.852,True,c5_radio,0.4945228397846222,0.5487,yellow,0,False,driver_roi,[]
112,1.868,True,c5_radio,0.4967067539691925,0.5509,yellow,0,False,driver_roi,[]
113,1.885,True,c5_radio,0.4967067539691925,0.5509,yellow,0,False,driver_roi,[]
114,1.902,True,c5_radio,0.49148204922676086,0.5523,yellow,0,False,driver_roi,[]
115,1.918,True,c5_radio,0.49148204922676086,0.5523,yellow,0,False,driver_roi,[]
116,1.935,True,c5_radio,0.48496702313423157,0.5515,yellow,0,False,driver_roi,[]
117,1.952,True,c5_radio,0.48496702313423157,0.5515,yellow,0,False,driver_roi,[]
118,1.969,True,c5_radio,0.48354291915893555,0.5532,yellow,0,False,driver_roi,[]
119,1.985,True,c5_radio,0.48354291915893555,0.5532,yellow,0,False,driver_roi,[]
120,2.002,True,c5_radio,0.4840189516544342,0.5555,yellow,0,False,driver_roi,[]
121,2.019,True,c5_radio,0.4840189516544342,0.5555,yellow,0,False,driver_roi,[]
122,2.035,True,c5_radio,0.4790073037147522,0.5556,yellow,0,False,driver_roi,[]
123,2.052,True,c5_radio,0.4790073037147522,0.5556,yellow,0,False,driver_roi,[]
124,2.069,True,c5_radio,0.4804414212703705,0.5585,yellow,0,False,driver_roi,[]
125,2.085,True,c5_radio,0.4804414212703705,0.5585,yellow,0,False,driver_roi,[]
126,2.102,True,c5_radio,0.4871692657470703,0.5617,yellow,0,False,driver_roi,[]
127,2.119,True,c5_radio,0.4871692657470703,0.5617,yellow,0,False,driver_roi,[]
128,2.135,True,c5_radio,0.4903945326805115,0.5635,yellow,0,False,driver_roi,[]
129,2.152,True,c5_radio,0.4903945326805115,0.5635,yellow,0,False,driver_roi,[]
130,2.169,True,c5_radio,0.49178972840309143,0.5639,yellow,0,False,driver_roi,[]
131,2.185,True,c5_radio,0.49178972840309143,0.5639,yellow,0,False,driver_roi,[]
132,2.202,True,c5_radio,0.4915127456188202,0.564,yellow,0,False,driver_roi,[]
133,2.219,True,c5_radio,0.4915127456188202,0.564,yellow,0,False,driver_roi,[]
134,2.235,True,c5_radio,0.4858969748020172,0.5644,yellow,0,False,driver_roi,[]
135,2.252,True,c5_radio,0.4858969748020172,0.5644,yellow,0,False,driver_roi,[]
136,2.269,True,c5_radio,0.4858050048351288,0.5662,yellow,0,False,driver_roi,[]
137,2.285,True,c5_radio,0.4858050048351288,0.5662,yellow,0,False,driver_roi,[]
138,2.302,True,c5_radio,0.4844764769077301,0.5681,yellow,0,False,driver_roi,[]
139,2.319,True,c5_radio,0.4844764769077301,0.5681,yellow,0,False,driver_roi,[]
140,2.336,True,c5_radio,0.4883332848548889,0.5701,yellow,0,False,driver_roi,[]
141,2.352,True,c5_radio,0.4883332848548889,0.5701,yellow,0,False,driver_roi,[]
142,2.369,True,c5_radio,0.4906678795814514,0.5719,yellow,0,False,driver_roi,[]
143,2.386,True,c5_radio,0.4906678795814514,0.5719,yellow,0,False,driver_roi,[]
144,2.402,True,c5_radio,0.4942854046821594,0.5744,yellow,0,False,driver_roi,[]
145,2.419,True,c5_radio,0.4942854046821594,0.5744,yellow,0,False,driver_roi,[]
146,2.436,True,c5_radio,0.5017611384391785,0.577,yellow,0,False,driver_roi,[]
147,2.452,True,c5_radio,0.5017611384391785,0.577,yellow,0,False,driver_roi,[]
148,2.469,True,c5_radio,0.5096785426139832,0.5799,yellow,0,False,driver_roi,[]
149,2.486,True,c5_radio,0.5096785426139832,0.5799,yellow,0,False,driver_roi,[]
150,2.502,True,c5_radio,0.5160232186317444,0.5822,yellow,0,False,driver_roi,[]
151,2.519,True,c5_radio,0.5160232186317444,0.5822,yellow,0,False,driver_roi,[]
152,2.536,True,c5_radio,0.5237756967544556,0.5855,yellow,0,False,driver_roi,[]
153,2.552,True,c5_radio,0.5237756967544556,0.5855,yellow,0,False,driver_roi,[]
154,2.569,True,c5_radio,0.5341139435768127,0.5885,yellow,0,False,driver_roi,[]
155,2.586,True,c5_radio,0.5341139435768127,0.5885,yellow,0,False,driver_roi,[]
156,2.602,True,c5_radio,0.5470504760742188,0.5902,yellow,0,False,driver_roi,[]
157,2.619,True,c5_radio,0.5470504760742188,0.5902,yellow,0,False,driver_roi,[]
158,2.636,True,c5_radio,0.559521496295929,0.5892,yellow,0,False,driver_roi,[]
159,2.652,True,c5_radio,0.559521496295929,0.5892,yellow,0,False,driver_roi,[]
160,2.669,True,c5_radio,0.5776487588882446,0.5898,yellow,0,False,driver_roi,[]
161,2.686,True,c5_radio,0.5776487588882446,0.5898,yellow,0,False,driver_roi,[]
162,2.703,True,c5_radio,0.598396897315979,0.5905,yellow,0,False,driver_roi,[]
163,2.719,True,c5_radio,0.598396897315979,0.5905,yellow,0,False,driver_roi,[]
164,2.736,True,c5_radio,0.6184488534927368,0.5923,yellow,0,False,driver_roi,[]
165,2.753,True,c5_radio,0.6184488534927368,0.5923,yellow,0,False,driver_roi,[]
166,2.769,True,c5_radio,0.6331741213798523,0.5944,yellow,0,False,driver_roi,[]
167,2.786,True,c5_radio,0.6331741213798523,0.5944,yellow,0,False,driver_roi,[]
168,2.803,True,c5_radio,0.6390150189399719,0.5946,yellow,0,False,driver_roi,[]
169,2.819,True,c5_radio,0.6390150189399719,0.5946,yellow,0,False,driver_roi,[]
170,2.836,True,c5_radio,0.6394601464271545,0.5927,yellow,0,False,driver_roi,[]
171,2.853,True,c5_radio,0.6394601464271545,0.5927,yellow,0,False,driver_roi,[]
172,2.869,True,c5_radio,0.6305065751075745,0.5891,yellow,0,False,driver_roi,[]
173,2.886,True,c5_radio,0.6305065751075745,0.5891,yellow,0,False,driver_roi,[]
174,2.903,True,c5_radio,0.6274725794792175,0.5862,yellow,0,False,driver_roi,[]
175,2.919,True,c5_radio,0.6274725794792175,0.5862,yellow,0,False,driver_roi,[]
176,2.936,True,c5_radio,0.6231845021247864,0.5838,yellow,0,False,driver_roi,[]
177,2.953,True,c5_radio,0.6231845021247864,0.5838,yellow,0,False,driver_roi,[]
178,2.969,True,c5_radio,0.6178387999534607,0.581,yellow,0,False,driver_roi,[]
179,2.986,True,c5_radio,0.6178387999534607,0.581,yellow,0,False,driver_roi,[]
180,3.003,True,c5_radio,0.6154831647872925,0.5809,yellow,0,False,driver_roi,[]
181,3.019,True,c5_radio,0.6154831647872925,0.5809,yellow,0,False,driver_roi,[]
182,3.036,True,c5_radio,0.6151623129844666,0.5801,yellow,0,False,driver_roi,[]
183,3.053,True,c5_radio,0.6151623129844666,0.5801,yellow,0,False,driver_roi,[]
184,3.07,True,c5_radio,0.6166536808013916,0.5784,yellow,0,False,driver_roi,[]
185,3.086,True,c5_radio,0.6166536808013916,0.5784,yellow,0,False,driver_roi,[]
186,3.103,True,c5_radio,0.6130996346473694,0.5756,yellow,0,False,driver_roi,[]
187,3.12,True,c5_radio,0.6130996346473694,0.5756,yellow,0,False,driver_roi,[]
188,3.136,True,c5_radio,0.6103196740150452,0.5734,yellow,0,False,driver_roi,[]
189,3.153,True,c5_radio,0.6103196740150452,0.5734,yellow,0,False,driver_roi,[]
190,3.17,True,c5_radio,0.6130104064941406,0.5724,yellow,0,False,driver_roi,[]
191,3.186,True,c5_radio,0.6130104064941406,0.5724,yellow,0,False,driver_roi,[]
192,3.203,True,c5_radio,0.6149499416351318,0.5708,yellow,0,False,driver_roi,[]
193,3.22,True,c5_radio,0.6149499416351318,0.5708,yellow,0,False,driver_roi,[]
194,3.236,True,c5_radio,0.6225764155387878,0.5696,yellow,0,False,driver_roi,[]
195,3.253,True,c5_radio,0.6225764155387878,0.5696,yellow,0,False,driver_roi,[]
196,3.27,True,c5_radio,0.6218235492706299,0.5672,yellow,0,False,driver_roi,[]
197,3.286,True,c5_radio,0.6218235492706299,0.5672,yellow,0,False,driver_roi,[]
198,3.303,True,c5_radio,0.6240787506103516,0.5653,yellow,0,False,driver_roi,[]
199,3.32,True,c5_radio,0.6240787506103516,0.5653,yellow,0,False,driver_roi,[]
200,3.336,True,c5_radio,0.6225882172584534,0.5619,yellow,0,False,driver_roi,[]
201,3.353,True,c5_radio,0.6225882172584534,0.5619,yellow,0,False,driver_roi,[]
202,3.37,True,c5_radio,0.6234127879142761,0.5596,yellow,0,False,driver_roi,[]
203,3.386,True,c5_radio,0.6234127879142761,0.5596,yellow,0,False,driver_roi,[]
204,3.403,True,c5_radio,0.6269004344940186,0.5574,yellow,0,False,driver_roi,[]
205,3.42,True,c5_radio,0.6269004344940186,0.5574,yellow,0,False,driver_roi,[]
206,3.437,True,c5_radio,0.6261920928955078,0.5545,yellow,0,False,driver_roi,[]
207,3.453,True,c5_radio,0.6261920928955078,0.5545,yellow,0,False,driver_roi,[]
208,3.47,True,c5_radio,0.6240281462669373,0.551,yellow,0,False,driver_roi,[]
209,3.487,True,c5_radio,0.6240281462669373,0.551,yellow,0,False,driver_roi,[]
210,3.503,True,c5_radio,0.6206597089767456,0.547,yellow,0,False,driver_roi,[]
211,3.52,True,c5_radio,0.6206597089767456,0.547,yellow,0,False,driver_roi,[]
212,3.537,True,c5_radio,0.613212525844574,0.5414,yellow,0,False,driver_roi,[]
213,3.553,True,c5_radio,0.613212525844574,0.5414,yellow,0,False,driver_roi,[]
214,3.57,True,c5_radio,0.5996368527412415,0.5333,yellow,0,False,driver_roi,[]
215,3.587,True,c5_radio,0.5996368527412415,0.5333,yellow,0,False,driver_roi,[]
216,3.603,True,c5_radio,0.588888943195343,0.5265,yellow,0,False,driver_roi,[]
217,3.62,True,c5_radio,0.588888943195343,0.5265,yellow,0,False,driver_roi,[]
218,3.637,True,c5_radio,0.5838130712509155,0.5228,yellow,0,False,driver_roi,[]
219,3.653,True,c5_radio,0.5838130712509155,0.5228,yellow,0,False,driver_roi,[]
220,3.67,True,c5_radio,0.570534348487854,0.5156,yellow,0,False,driver_roi,[]
221,3.687,True,c5_radio,0.570534348487854,0.5156,yellow,0,False,driver_roi,[]
222,3.703,True,c5_radio,0.552203893661499,0.5078,yellow,0,False,driver_roi,[]
223,3.72,True,c5_radio,0.552203893661499,0.5078,yellow,0,False,driver_roi,[]
224,3.737,True,c5_radio,0.5329122543334961,0.5009,yellow,0,False,driver_roi,[]
225,3.753,True,c5_radio,0.5329122543334961,0.5009,yellow,0,False,driver_roi,[]
226,3.77,True,c5_radio,0.5179182887077332,0.4958,yellow,0,False,driver_roi,[]
227,3.787,True,c5_radio,0.5179182887077332,0.4958,yellow,0,False,driver_roi,[]
228,3.804,True,c5_radio,0.5112543702125549,0.492,yellow,0,False,driver_roi,[]
229,3.82,True,c5_radio,0.5112543702125549,0.492,yellow,0,False,driver_roi,[]
230,3.837,True,c5_radio,0.5089672207832336,0.4903,yellow,0,False,driver_roi,[]
