frame_idx,time_sec,face_detected,state,confidence,risk_score,risk_level,danger_counter,warning,input_mode,attention_boxes
0,0.0,True,c3_texting_left,0.8187870979309082,0.6246,yellow,1,False,driver_roi,[]
1,0.017,True,c3_texting_left,0.8187870979309082,0.6246,yellow,1,False,driver_roi,[]
2,0.033,True,c3_texting_left,0.8144192695617676,0.6443,yellow,2,False,driver_roi,[]
3,0.05,True,c3_texting_left,0.8144192695617676,0.6443,yellow,2,False,driver_roi,[]
4,0.067,True,c3_texting_left,0.8328903317451477,0.6696,orange,3,False,driver_roi,[]
5,0.083,True,c3_texting_left,0.8328903317451477,0.6696,orange,3,False,driver_roi,[]
6,0.1,True,c3_texting_left,0.8499513268470764,0.6944,orange,4,False,driver_roi,[]
7,0.117,True,c3_texting_left,0.8499513268470764,0.6944,orange,4,False,driver_roi,[]
8,0.133,True,c3_texting_left,0.8569818735122681,0.7173,orange,5,False,driver_roi,[]
9,0.15,True,c3_texting_left,0.8569818735122681,0.7173,orange,5,False,driver_roi,[]
10,0.167,True,c3_texting_left,0.8706145882606506,0.7401,orange,6,False,driver_roi,[]
11,0.184,True,c3_texting_left,0.8706145882606506,0.7401,orange,6,False,driver_roi,[]
12,0.2,True,c3_texting_left,0.8740282654762268,0.7603,orange,7,False,driver_roi,[]
13,0.217,True,c3_texting_left,0.8740282654762268,0.7603,orange,7,False,driver_roi,[]
14,0.234,True,c3_texting_left,0.8811301589012146,0.7816,orange,8,False,driver_roi,[]
15,0.25,True,c3_texting_left,0.8811301589012146,0.7816,orange,8,False,driver_roi,[]
16,0.267,True,c3_texting_left,0.8897674083709717,0.8028,orange,9,False,driver_roi,[]
17,0.284,True,c3_texting_left,0.8897674083709717,0.8028,orange,9,False,driver_roi,[]
18,0.3,True,c3_texting_left,0.8964084386825562,0.8239,orange,10,False,driver_roi,[]
19,0.317,True,c3_texting_left,0.8964084386825562,0.8239,orange,10,False,driver_roi,[]
20,0.334,True,c3_texting_left,0.9018682241439819,0.8444,orange,11,False,driver_roi,[]
21,0.35,True,c3_texting_left,0.9018682241439819,0.8444,orange,11,False,driver_roi,[]
22,0.367,True,c3_texting_left,0.9039973616600037,0.8641,red,12,False,driver_roi,[]
23,0.384,True,c3_texting_left,0.9039973616600037,0.8641,red,12,False,driver_roi,[]
24,0.4,True,c3_texting_left,0.9062163233757019,0.8844,red,13,False,driver_roi,[]
25,0.417,True,c3_texting_left,0.9062163233757019,0.8844,red,13,False,driver_roi,[]
26,0.434,True,c3_texting_left,0.9026480317115784,0.9028,red,14,False,driver_roi,[]
27,0.45,True,c3_texting_left,0.9026480317115784,0.9028,red,14,False,driver_roi,[]
28,0.467,True,c3_texting_left,0.8967732191085815,0.9208,red,15,False,driver_roi,[]
29,0.484,True,c3_texting_left,0.8967732191085815,0.9208,red,15,False,driver_roi,[]
30,0.5,True,c3_texting_left,0.8956122398376465,0.9402,red,16,False,driver_roi,[]
31,0.517,True,c3_texting_left,0.8956122398376465,0.9402,red,16,False,driver_roi,[]
32,0.534,True,c3_texting_left,0.8896000981330872,0.9591,red,17,False,driver_roi,[]
33,0.551,True,c3_texting_left,0.8896000981330872,0.9591,red,17,False,driver_roi,[]
34,0.567,True,c3_texting_left,0.874646782875061,0.9767,red,18,True,driver_roi,[]
35,0.584,True,c3_texting_left,0.874646782875061,0.9767,red,18,True,driver_roi,[]
36,0.601,True,c3_texting_left,0.8526679873466492,0.975,red,19,True,driver_roi,[]
37,0.617,True,c3_texting_left,0.8526679873466492,0.975,red,19,True,driver_roi,[]
38,0.634,True,c3_texting_left,0.8395905494689941,0.9735,red,20,True,driver_roi,[]
39,0.651,True,c3_texting_left,0.8395905494689941,0.9735,red,20,True,driver_roi,[]
40,0.667,True,c3_texting_left,0.8238648176193237,0.9723,red,21,True,driver_roi,[]
41,0.684,True,c3_texting_left,0.8238648176193237,0.9723,red,21,True,driver_roi,[]
42,0.701,True,c3_texting_left,0.8072549104690552,0.9708,red,22,True,driver_roi,[]
43,0.717,True,c3_texting_left,0.8072549104690552,0.9708,red,22,True,driver_roi,[]
44,0.734,True,c3_texting_left,0.7901219129562378,0.9687,red,23,True,driver_roi,[]
45,0.751,True,c3_texting_left,0.7901219129562378,0.9687,red,23,True,driver_roi,[]
46,0.767,True,c3_texting_left,0.7800725698471069,0.9675,red,24,True,driver_roi,[]
47,0.784,True,c3_texting_left,0.7800725698471069,0.9675,red,24,True,driver_roi,[]
48,0.801,True,c3_texting_left,0.775429368019104,0.9669,red,25,True,driver_roi,[]
49,0.817,True,c3_texting_left,0.775429368019104,0.9669,red,25,True,driver_roi,[]
50,0.834,True,c3_texting_left,0.7649999856948853,0.9655,red,26,True,driver_roi,[]
51,0.851,True,c3_texting_left,0.7649999856948853,0.9655,red,26,True,driver_roi,[]
52,0.867,True,c3_texting_left,0.7375775575637817,0.9625,red,27,True,driver_roi,[]
53,0.884,True,c3_texting_left,0.7375775575637817,0.9625,red,27,True,driver_roi,[]
54,0.901,True,c3_texting_left,0.7229312062263489,0.9586,red,28,True,driver_roi,[]
55,0.918,True,c3_texting_left,0.7229312062263489,0.9586,red,28,True,driver_roi,[]
56,0.934,True,c3_texting_left,0.702718198299408,0.9545,red,29,True,driver_roi,[]
57,0.951,True,c3_texting_left,0.702718198299408,0.9545,red,29,True,driver_roi,[]
58,0.968,True,c3_texting_left,0.6820657849311829,0.9499,red,28,True,driver_roi,[]
59,0.984,True,c3_texting_left,0.6820657849311829,0.9499,red,28,True,driver_roi,[]
60,1.001,True,c3_texting_left,0.6695126295089722,0.9477,red,27,True,driver_roi,[]
61,1.018,True,c3_texting_left,0.6695126295089722,0.9477,red,27,True,driver_roi,[]
62,1.034,True,c3_texting_left,0.6480810046195984,0.9452,red,26,True,driver_roi,[]
63,1.051,True,c3_texting_left,0.6480810046195984,0.9452,red,26,True,driver_roi,[]
64,1.068,True,c3_texting_left,0.6260035634040833,0.9416,red,25,True,driver_roi,[]
65,1.084,True,c3_texting_left,0.6260035634040833,0.9416,red,25,True,driver_roi,[]
66,1.101,True,c3_texting_left,0.607435405254364,0.9367,red,24,True,driver_roi,[]
67,1.118,True,c3_texting_left,0.607435405254364,0.9367,red,24,True,driver_roi,[]
68,1.134,True,c3_texting_left,0.5861225724220276,0.9309,red,23,True,driver_roi,[]
69,1.151,True,c3_texting_left,0.5861225724220276,0.9309,red,23,True,driver_roi,[]
70,1.168,True,c3_texting_left,0.5795959234237671,0.9291,red,22,True,driver_roi,[]
71,1.184,True,c3_texting_left,0.5795959234237671,0.9291,red,22,True,driver_roi,[]
72,1.201,True,c3_texting_left,0.5694624781608582,0.9266,red,21,True,driver_roi,[]
73,1.218,True,c3_texting_left,0.5694624781608582,0.9266,red,21,True,driver_roi,[]
74,1.234,True,c3_texting_left,0.5602707266807556,0.9233,red,20,True,driver_roi,[]
75,1.251,True,c3_texting_left,0.5602707266807556,0.9233,red,20,True,driver_roi,[]
76,1.268,True,c3_texting_left,0.5595209002494812,0.9189,red,19,True,driver_roi,[]
77,1.285,True,c3_texting_left,0.5595209002494812,0.9189,red,19,True,driver_roi,[]
78,1.301,True,c3_texting_left,0.5523208975791931,0.9152,red,18,True,driver_roi,[]
79,1.318,True,c3_texting_left,0.5523208975791931,0.9152,red,18,True,driver_roi,[]
80,1.335,True,c3_texting_left,0.551053524017334,0.892,red,17,False,driver_roi,[]
81,1.351,True,c3_texting_left,0.551053524017334,0.892,red,17,False,driver_roi,[]
82,1.368,True,c3_texting_left,0.5486369729042053,0.8698,red,16,False,driver_roi,[]
83,1.385,True,c3_texting_left,0.5486369729042053,0.8698,red,16,False,driver_roi,[]
84,1.401,True,c3_texting_left,0.5491021871566772,0.8469,orange,15,False,driver_roi,[]
85,1.418,True,c3_texting_left,0.5491021871566772,0.8469,orange,15,False,driver_roi,[]
86,1.435,True,c3_texting_left,0.5347286462783813,0.821,orange,14,False,driver_roi,[]
87,1.451,True,c3_texting_left,0.5347286462783813,0.821,orange,14,False,driver_roi,[]
88,1.468,True,c3_texting_left,0.5164580345153809,0.7947,orange,13,False,driver_roi,[]
89,1.485,True,c3_texting_left,0.5164580345153809,0.7947,orange,13,False,driver_roi,[]
90,1.501,True,c3_texting_left,0.5066043138504028,0.7698,orange,12,False,driver_roi,[]
91,1.518,True,c3_texting_left,0.5066043138504028,0.7698,orange,12,False,driver_roi,[]
92,1.535,True,c3_texting_left,0.5238679051399231,0.7495,orange,11,False,driver_roi,[]
